"LabID","All","Fine","Broad","HI.Fine","CNMI_HIArch","CNMI_Other","CNMI_NoHybrids","STRUCTURE_strata"
"104035","All","CNMI","WPac",NA,"CNMI","CNMI","CNMI","CNMI"
"104066","All","CNMI","WPac",NA,"CNMI","CNMI",NA,"CNMI"
"104067","All","CNMI","WPac",NA,"CNMI","CNMI","CNMI","CNMI"
"104070","All","CNMI","WPac",NA,"CNMI","CNMI","CNMI","CNMI"
"107857","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"107859","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"108171","All","CNMI","WPac",NA,"CNMI","CNMI","CNMI","CNMI"
"108172","All","CNMI","WPac",NA,"CNMI","CNMI","CNMI","CNMI"
"108183","All","CNMI","WPac",NA,"CNMI","CNMI","CNMI","CNMI"
"108207","All","CNMI","WPac",NA,"CNMI","CNMI",NA,"CNMI"
"108208","All","CNMI","WPac",NA,"CNMI","CNMI",NA,"CNMI"
"113577","All","MHI","HIArch",NA,"HIArch","Ttru",NA,"HIArch"
"113578","All","MHI","HIArch","BigIsland","HIArch","Ttru",NA,"HIArch"
"113652","All","MHI","HIArch","4-Islands","HIArch","Ttru",NA,"HIArch"
"114559","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"114560","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"114561","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"114562","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"114563","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"114941","All","NWHI","HIArch","GardnerValley","HIArch","Ttru",NA,"HIArch"
"114942","All","NWHI","HIArch","GardnerValley","HIArch","Ttru",NA,"HIArch"
"114943","All","NWHI","HIArch","GardnerValley","HIArch","Ttru",NA,"HIArch"
"114944","All","NWHI","HIArch","GardnerValley","HIArch","Ttru",NA,"HIArch"
"114958","All","NWHI","HIArch","FFS","HIArch","Ttru",NA,"HIArch"
"114961","All","NWHI","HIArch","FFS","HIArch","Ttru",NA,"HIArch"
"114962","All","NWHI","HIArch","FFS","HIArch","Ttru",NA,"HIArch"
"116858","All","CNMI","WPac",NA,"CNMI","CNMI","CNMI","CNMI"
"116866","All","CNMI","WPac",NA,"CNMI","CNMI","CNMI","CNMI"
"116867","All","CNMI","WPac",NA,"CNMI","CNMI",NA,"CNMI"
"116868","All","CNMI","WPac",NA,"CNMI","CNMI",NA,"CNMI"
"116869","All","CNMI","WPac",NA,"CNMI","CNMI","CNMI","CNMI"
"116881","All","CNMI","WPac",NA,"CNMI","CNMI","CNMI","CNMI"
"123253","All","MHI","HIArch",NA,"HIArch","Ttru",NA,"HIArch"
"123357","All","NWHI","HIArch","GardnerValley","HIArch","Ttru",NA,"HIArch"
"123358","All","NWHI","HIArch","GardnerValley","HIArch","Ttru",NA,"HIArch"
"123359","All","NWHI","HIArch","GardnerValley","HIArch","Ttru",NA,"HIArch"
"123364","All","NWHI","HIArch","FFS","HIArch","Ttru",NA,"HIArch"
"123365","All","NWHI","HIArch","FFS","HIArch","Ttru",NA,"HIArch"
"123366","All","NWHI","HIArch","FFS","HIArch","Ttru",NA,"HIArch"
"123372","All","NWHI","HIArch","Nihoa","HIArch","Ttru",NA,"HIArch"
"123373","All","NWHI","HIArch","Nihoa","HIArch","Ttru",NA,"HIArch"
"123374","All","NWHI","HIArch","Nihoa","HIArch","Ttru",NA,"HIArch"
"123375","All","MHI","HIArch",NA,"HIArch","Ttru",NA,"HIArch"
"123376","All","NWHI","HIArch","Nihoa","HIArch","Ttru",NA,"HIArch"
"123377","All","NWHI","HIArch","Nihoa","HIArch","Ttru",NA,"HIArch"
"123380","All","NWHI","HIArch","FFS","HIArch","Ttru",NA,"HIArch"
"133152","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
"133153","All","MHI","HIArch","Kauai","HIArch","Ttru",NA,"HIArch"
